BLZ;name;city;shortName;BIC
13070000;Deutsche Bank;Bad Doberan;Deutsche Bank Bad Doberan;DEUTDEBR131
13070000;Deutsche Bank;Bergen auf Rügen;Deutsche Bank Bergen Rügen;DEUTDEBR133
13070000;Deutsche Bank;Bützow;Deutsche Bank Bützow;DEUTDEBB130
13070000;Deutsche Bank;Demmin, Hansestadt;Deutsche Bank Demmin;DEUTDEBB131
13070000;Deutsche Bank;Greifswald, Hansestadt;Deutsche Bank Greifswald;DEUTDEBR134
13070000;Deutsche Bank;Grimmen;Deutsche Bank Grimmen;DEUTDEBR135
13070000;Deutsche Bank;Güstrow;Deutsche Bank Güstrow;DEUTDEBB141
13070000;Deutsche Bank;Hagenow;Deutsche Bank Hagenow;DEUTDEBB142
13070000;Deutsche Bank;Ludwigslust, Meckl;Deutsche Bank Ludwigslust;DEUTDEBB143
13070000;Deutsche Bank;Lübz;Deutsche Bank Lübz;DEUTDEBB144
13070000;Deutsche Bank;Malchin;Deutsche Bank Malchin;DEUTDEBB152
13070000;Deutsche Bank;Neubrandenburg, Meckl;Deutsche Bank Neubrandenbg;DEUTDEBB150
13070000;Deutsche Bank;Neustrelitz;Deutsche Bank Neustrelitz;DEUTDEBB153
13070000;Deutsche Bank;Prenzlau;Deutsche Bank Prenzlau;DEUTDEBB154
13070000;Deutsche Bank;Ribnitz-Damgarten;Deutsche Bank Ribnitz-Damgt;DEUTDEBR136
13070000;Deutsche Bank;Schwerin, Meckl;Deutsche Bank Schwerin;DEUTDEBB140
13070000;Deutsche Bank;Stralsund;Deutsche Bank Stralsund;DEUTDEBR138
13070000;Deutsche Bank;Templin;Deutsche Bank Templin;DEUTDEBB155
13070000;Deutsche Bank;Teterow;Deutsche Bank Teterow;DEUTDEBB156
13070000;Deutsche Bank;Torgelow, Vorpommern;Deutsche Bank Torgelow;DEUTDEBB179
13070000;Deutsche Bank;Wismar, Meckl;Deutsche Bank Wismar;DEUTDEBB148
13070000;Deutsche Bank;Wittenberge, Prignitz;Deutsche Bank Wittenberge;DEUTDEBB149
13070000;Deutsche Bank;Wolgast;Deutsche Bank Wolgast;DEUTDEBB159
13070000;Deutsche Bank;Gadebusch;Deutsche Bank Gadebusch;DEUTDEBB132
13070000;Deutsche Bank;Parchim;Deutsche Bank Parchim;DEUTDEBB145
13070000;Deutsche Bank;Perleberg;Deutsche Bank Perleberg;DEUTDEBB146
13070000;Deutsche Bank;Plau;Deutsche Bank Plau;DEUTDEBB147
13070000;Deutsche Bank;Sassnitz;Deutsche Bank Sassnitz;DEUTDEBR137
13070000;Deutsche Bank;Waren (Müritz);Deutsche Bank Waren;DEUTDEBB158
13070000;Deutsche Bank;Ueckermünde;Deutsche Bank Ueckermünde;DEUTDEBB157
13070000;Deutsche Bank;Barth;Deutsche Bank Barth;DEUTDEBR132
13070024;Deutsche Bank Privat und Geschäftskunden;Rostock;Deutsche Bank PGK Rostock;DEUTDEDBROS
13070024;Deutsche Bank Privat und Geschäftskunden;Anklam;Deutsche Bank PGK Anklam;DEUTDEDB151
13070024;Deutsche Bank Privat und Geschäftskunden;Bad Doberan;Deutsche Bank PGK Bad Dober;DEUTDEDB131
13070024;Deutsche Bank Privat und Geschäftskunden;Bergen auf Rügen;Deutsche Bank PGK Bergen Rü;DEUTDEDB133
13070024;Deutsche Bank Privat und Geschäftskunden;Bützow;Deutsche Bank PGK Bützow;DEUTDEDB130
13070024;Deutsche Bank Privat und Geschäftskunden;Demmin, Hansestadt;Deutsche Bank PGK Demmin;DEUTDEDB128
13070024;Deutsche Bank Privat und Geschäftskunden;Gadebusch;Deutsche Bank PGK Gadebusch;DEUTDEDB132
13070024;Deutsche Bank Privat und Geschäftskunden;Greifswald, Hansestadt;Deutsche Bank PGK Greifswal;DEUTDEDB134
13070024;Deutsche Bank Privat und Geschäftskunden;Grimmen;Deutsche Bank PGK Grimmen;DEUTDEDB135
13070024;Deutsche Bank Privat und Geschäftskunden;Güstrow;Deutsche Bank PGK Güstrow;DEUTDEDB141
13070024;Deutsche Bank Privat und Geschäftskunden;Hagenow;Deutsche Bank PGK Hagenow;DEUTDEDB142
13070024;Deutsche Bank Privat und Geschäftskunden;Ludwigslust, Meckl;Deutsche Bank PGK Ludwigslu;DEUTDEDB143
13070024;Deutsche Bank Privat und Geschäftskunden;Lübz;Deutsche Bank PGK Lübz;DEUTDEDB144
13070024;Deutsche Bank Privat und Geschäftskunden;Malchin;Deutsche Bank PGK Malchin;DEUTDEDB152
13070024;Deutsche Bank Privat und Geschäftskunden;Neubrandenburg, Meckl;Deutsche Bank PGK Neubrande;DEUTDEDB150
13070024;Deutsche Bank Privat und Geschäftskunden;Neustrelitz;Deutsche Bank PGK Neustreli;DEUTDEDB153
13070024;Deutsche Bank Privat und Geschäftskunden;Parchim;Deutsche Bank PGK Parchim;DEUTDEDB145
13070024;Deutsche Bank Privat und Geschäftskunden;Perleberg;Deutsche Bank PGK Perleberg;DEUTDEDB146
13070024;Deutsche Bank Privat und Geschäftskunden;Plau;Deutsche Bank PGK Plau;DEUTDEDB147
13070024;Deutsche Bank Privat und Geschäftskunden;Prenzlau;Deutsche Bank PGK Prenzlau;DEUTDEDB154
13070024;Deutsche Bank Privat und Geschäftskunden;Ribnitz-Damgarten;Deutsche Bank PGK Ribnitz-D;DEUTDEDB136
13070024;Deutsche Bank Privat und Geschäftskunden;Sassnitz;Deutsche Bank PGK Sassnitz;DEUTDEDB137
13070024;Deutsche Bank Privat und Geschäftskunden;Schwerin, Meckl;Deutsche Bank PGK Schwerin;DEUTDEDB140
13070024;Deutsche Bank Privat und Geschäftskunden;Stralsund;Deutsche Bank PGK Stralsund;DEUTDEDB138
13070024;Deutsche Bank Privat und Geschäftskunden;Templin;Deutsche Bank PGK Templin;DEUTDEDB155
13070024;Deutsche Bank Privat und Geschäftskunden;Teterow;Deutsche Bank PGK Teterow;DEUTDEDB156
13070024;Deutsche Bank Privat und Geschäftskunden;Torgelow, Vorpommern;Deutsche Bank PGK Torgelow;DEUTDEDB179
13070024;Deutsche Bank Privat und Geschäftskunden;Ueckermünde;Deutsche Bank PGK Ueckermün;DEUTDEDB157
13070024;Deutsche Bank Privat und Geschäftskunden;Waren (Müritz);Deutsche Bank PGK Waren;DEUTDEDB158
13070024;Deutsche Bank Privat und Geschäftskunden;Wismar, Meckl;Deutsche Bank PGK Wismar;DEUTDEDB148
